咪咕央卫,#genre#
WTT 男女单打1/16决赛、男女双打1/8决赛 1号桌 20:00,http://45.192.97.170:8880/play/225.m3u8
WTT 男女单打1/16决赛、男女双打1/8决赛 2号桌 20:00,http://45.192.97.170:8880/play/226.m3u8
WTT 男女单打1/16决赛、男女双打1/8决赛 3号桌 20:00,http://45.192.97.170:8880/play/227.m3u8
WTT 男女单打1/16决赛、男女双打1/8决赛 4号桌 20:00,http://45.192.97.170:8880/play/228.m3u8
斯诺克 32进16 1号桌 20:00,http://45.192.97.170:8880/play/229.m3u8
斯诺克 32进16 2号桌 20:00,http://45.192.97.170:8880/play/230.m3u8
斯诺克 32进16 3号桌 20:00,http://45.192.97.170:8880/play/231.m3u8
斯诺克 32进16 4号桌 20:00,http://45.192.97.170:8880/play/232.m3u8
美国网球公开赛 男女单打第二轮 阿瑟・阿什球场 23:00,http://45.192.97.170:8880/play/233.m3u8
美国网球公开赛 男女单打第二轮 路易斯・阿姆斯特朗球场 23:00,http://45.192.97.170:8880/play/234.m3u8
美国网球公开赛 男女单打第二轮 大看台球场 23:00,http://45.192.97.170:8880/play/235.m3u8
美国网球公开赛 男女单打第二轮 17号球场 23:00,http://45.192.97.170:8880/play/236.m3u8
美国网球公开赛 男女单打第二轮 5号球场 23:00,http://45.192.97.170:8880/play/237.m3u8
美国网球公开赛 男女单打第二轮 6号球场 23:00,http://45.192.97.170:8880/play/238.m3u8
美国网球公开赛 男女单打第二轮 7号球场 23:00,http://45.192.97.170:8880/play/239.m3u8
美国网球公开赛 男女单打第二轮 9号球场 23:00,http://45.192.97.170:8880/play/240.m3u8
美国网球公开赛 男女单打第二轮 10号球场 23:00,http://45.192.97.170:8880/play/241.m3u8
美国网球公开赛 男女单打第二轮 11号球场 23:00,http://45.192.97.170:8880/play/242.m3u8
美国网球公开赛 男女单打第二轮 12号球场 23:00,http://45.192.97.170:8880/play/243.m3u8
美国网球公开赛 男女单打第二轮 13号球场 23:00,http://45.192.97.170:8880/play/244.m3u8
美国网球公开赛 男女单打第二轮 15号球场 23:00,http://45.192.97.170:8880/play/245.m3u8
美国网球公开赛 男女单打第二轮 国际信号 23:00,http://45.192.97.170:8880/play/246.m3u8
美国网球公开赛 男女单打第二轮 英文解说 23:00,http://45.192.97.170:8880/play/247.m3u8
备用01线,#genre#
CCTV-1综合,http://45.192.97.170:8880/play/248.m3u8
CCTV-2财经,http://45.192.97.170:8880/play/249.m3u8
CCTV-3综艺,http://45.192.97.170:8880/play/250.m3u8
CCTV-4中文国际,http://45.192.97.170:8880/play/251.m3u8
CCTV-5体育,http://45.192.97.170:8880/play/252.m3u8
CCTV-5+HD,http://45.192.97.170:8880/play/253.m3u8
CCTV-6电影,http://45.192.97.170:8880/play/254.m3u8
CCTV-7国防军事,http://45.192.97.170:8880/play/255.m3u8
