央视频道,#genre#
龙华卡通,https://cdn8.163189.xyz/163189/lhkt
龙华偶像,https://cdn8.163189.xyz/163189/lhox
龙华日韩,https://cdn8.163189.xyz/163189/lhrh
龙华戏剧,https://cdn8.163189.xyz/163189/lhxj
龙华洋片,https://cdn8.163189.xyz/163189/lhyp
翡翠台,https://smt.1678520.xyz/smt3.2.3.php?id=jade_twn
华丽翡翠台,https://o11.163189.xyz/stream/live/hlt/
无线新闻台,https://smt.1678520.xyz/smt3.2.3.php?id=inews_twn
TVB星河,https://cdn10.163189.xyz/163189/xinghe
千禧经典台,https://smt.1678520.xyz/smt3.2.3.php?id=Tvbclassic
Astro QJ,https://smt.1678520.xyz/smt3.2.3.php?id=Quanjia
Astro欢喜台,https://smt.1678520.xyz/smt3.2.3.php?id=Huahee
八度空间,https://smt.1678520.xyz/smt3.2.1.php?id=TV8
华丽翡翠台,https://o11.163189.xyz/stream/live/jade/
亚洲武侠,https://cdn6.163189.xyz/163189/yzwx
TVB娱乐新闻台,https://cdn6.163189.xyz/163189/ylxw
无线新闻台,https://cdn6.163189.xyz/163189/wxxwt
TVB星河,https://cdn6.163189.xyz/163189/tvbxh
NOW新闻台,https://cdn.163189.xyz/163189/now
翡翠台4K,https://cdn6.163189.xyz/163189/fct4k
翡翠台(字幕),https://mytv.cdn.loc.cc/o12.php?id=fct
明珠台(字幕),https://mytv.cdn.loc.cc/o12.php?id=mzt
TVB1,https://mytv.cdn.loc.cc/o12.php?id=fct
CCTV13,https://cdn3.163189.xyz/163189/cctv13
海峡卫视,https://cdn3.163189.xyz/163189/hxws
TVB星河国语,https://cdn10.163189.xyz/163189/xinghe
天映频道,https://cdn10.163189.xyz/163189/typd
天映经典,https://cdn10.163189.xyz/163189/ccm

港澳台频道,#genre#
香港卫视,http://webcast.hkstv.tv/livestream/mutfysrq/playlist.m3u8
凤凰卫视,http://221.7.175.154:8445/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
香港C+,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
香港面包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
翡翠台,http://mg.hmysapp.cn:177/港澳台/香港港hk/翡翠台.php?id=301
美亚电影台,http://mg.hmysapp.cn:177/港澳台/香港港hk/美亞電影台.php?id=301
凤凰中文,http://mg.hmysapp.cn:177/港澳台/香港港hk/凤凰卫视中文台.php?id=301
凤凰资讯,http://mg.hmysapp.cn:177/港澳台/香港港hk/凤凰卫视资讯台.php?id=301
无线新闻台,http://mg.hmysapp.cn:177/港澳台/香港港hk/无线新闻台.php?id=301
TVBplus,http://mg.hmysapp.cn:177/港澳台/香港港hk/TVBplus.php?id=301
TVBS,http://mg.hmysapp.cn:177/港澳台/台湾湾4G/TVBS.php?id=301
凤凰香港台,http://mg.hmysapp.cn:177/港澳台/香港港hk/凤凰卫视香港台.php?id=301
娱乐新闻台,http://mg.hmysapp.cn:177/港澳台/香港港hk/娱乐新闻台.php?id=301

Plus综合,http://rihou.cc:555/tv/[Pd]Plus综合
凤凰中文,http://rihou.cc:555/tv/[Pd]凤凰中文
凤凰资讯,http://rihou.cc:555/tv/[Pd]凤凰资讯
凤凰香港,http://rihou.cc:555/tv/[Pd]凤凰香港
有线综合,http://rihou.cc:555/tv/[Pd]有线综合
有线亚剧,http://rihou.cc:555/tv/[Pd]有线亚剧
无线新闻,http://rihou.cc:555/tv/[Pd]无线新闻
无线翡翠,http://rihou.cc:555/tv/[Pd]无线翡翠
无线翡翠4Ktv,http://rihou.cc:555/tv/[Pd]无线翡4K
无线华丽,http://rihou.cc:555/tv/[Pd]无线华丽
无线明珠,http://rihou.cc:555/tv/[Pd]无线明珠
无线星河,http://rihou.cc:555/tv/[Pd]无线星河
